,Time,Length,Is_malicious
60508,1659046835.258817,946,1
60509,1659046835.52978,60,1
60510,1659046835.70242,74,1
60511,1659046835.702863,76,1
74400,1659046837.0,74,1
60512,1659046837.145804,66,1
60513,1659046837.147617,66,1
60514,1659046837.147666,54,1
60515,1659046837.162478,54,1
60516,1659046837.164349,60,1
60517,1659046837.164394,54,1
74401,1659046839.0,74,1
60518,1659046839.148819,66,1
60519,1659046839.150929,66,1
60520,1659046839.150977,54,1
60521,1659046839.152489,54,1
60522,1659046839.1546,60,1
60523,1659046839.154631,54,1
60524,1659046839.684403,88,1
60525,1659046839.710352,88,1
74402,1659046841.0,74,1
60526,1659046841.144643,66,1
60527,1659046841.146339,66,1
60528,1659046841.146392,54,1
60529,1659046841.165396,54,1
60530,1659046841.167072,60,1
60531,1659046841.16711,54,1
60532,1659046841.668385,1349,1
60533,1659046841.983719,1349,1
60534,1659046841.986134,60,1
74403,1659046842.0,74,1
60535,1659046842.301443,66,1
74404,1659046843.0,74,1
60536,1659046843.053613,1187,1
60537,1659046843.144074,66,1
60538,1659046843.146088,66,1
60539,1659046843.14614,54,1
60540,1659046843.181084,54,1
60541,1659046843.183034,60,1
60542,1659046843.183034,60,1
60543,1659046843.183076,54,1
60544,1659046843.326907,60,1
60545,1659046843.603182,62,1
60546,1659046843.63405,74,1
74405,1659046844.0,74,1
60547,1659046844.190637,70,1
60548,1659046844.222884,102,1
60549,1659046844.223058,70,1
60550,1659046844.227316,1292,1
60551,1659046844.227822,119,1
60552,1659046844.228233,288,1
60553,1659046844.261447,102,1
60554,1659046844.285975,1292,1
60555,1659046844.295025,670,1
60556,1659046844.295025,68,1
60557,1659046844.295223,67,1
60558,1659046844.296671,1292,1
60559,1659046844.296703,1292,1
60560,1659046844.298882,1292,1
60561,1659046844.299012,115,1
60562,1659046844.32805,1292,1
60563,1659046844.329717,134,1
60565,1659046844.347172,67,1
60564,1659046844.347172,835,1
60566,1659046844.347996,155,1
60567,1659046844.348228,75,1
60568,1659046844.349365,80,1
60569,1659046844.349785,75,1
60570,1659046844.350433,77,1
60571,1659046844.351654,89,1
60572,1659046844.380154,69,1
60573,1659046844.387937,89,1
60574,1659046844.396536,153,1
60575,1659046844.406283,70,1
60576,1659046844.427833,153,1
60577,1659046844.436587,66,1
60578,1659046844.437701,104,1
60579,1659046844.440848,66,1
60580,1659046844.440905,54,1
60581,1659046844.443631,571,1
60582,1659046844.448047,60,1
60583,1659046844.448646,288,1
60584,1659046844.449474,118,1
60585,1659046844.449826,146,1
60586,1659046844.450173,476,1
60590,1659046844.453716,60,1
60589,1659046844.453716,116,1
60588,1659046844.453716,60,1
60587,1659046844.453716,200,1
60591,1659046844.453759,54,1
60592,1659046844.453772,54,1
60593,1659046844.453869,85,1
60594,1659046844.45412,85,1
60595,1659046844.45417,60,1
60596,1659046844.454605,390,1
60597,1659046844.458088,60,1
60598,1659046844.468653,73,1
60599,1659046844.470221,550,1
60600,1659046844.470221,67,1
60601,1659046844.47068,77,1
60602,1659046844.472096,66,1
60603,1659046844.474806,66,1
60604,1659046844.474852,54,1
60605,1659046844.47741,571,1
60606,1659046844.480404,60,1
60607,1659046844.480981,288,1
60608,1659046844.48177,118,1
60611,1659046844.484438,116,1
60610,1659046844.484438,200,1
60609,1659046844.484438,60,1
60612,1659046844.48448,54,1
60613,1659046844.497302,75,1
60614,1659046844.526501,67,1
60615,1659046844.598217,54,1
60616,1659046844.704543,88,1
60617,1659046844.737019,88,1
74406,1659046845.0,74,1
60618,1659046845.146847,66,1
60619,1659046845.149385,66,1
60620,1659046845.149449,54,1
60621,1659046845.258309,54,1
60622,1659046845.260919,60,1
60623,1659046845.260972,54,1
60624,1659046845.702892,74,1
60625,1659046845.703368,76,1
74407,1659046847.0,74,1
60626,1659046847.148699,66,1
60627,1659046847.151149,66,1
60628,1659046847.151207,54,1
60629,1659046847.152255,54,1
60630,1659046847.154772,60,1
60631,1659046847.154817,54,1
74408,1659046849.0,74,1
60632,1659046849.119955,2007,1
60633,1659046849.147934,66,1
60634,1659046849.149925,66,1
60635,1659046849.149981,54,1
60636,1659046849.157023,54,1
60637,1659046849.158995,60,1
60638,1659046849.15903,54,1
60639,1659046849.434509,1434,1
60641,1659046849.437893,60,1
60640,1659046849.437893,60,1
60642,1659046849.734473,88,1
60643,1659046849.752512,66,1
60644,1659046849.766038,88,1
74409,1659046850.0,74,1
60645,1659046850.328428,996,1
60646,1659046850.370284,54,1
74410,1659046851.0,74,1
60647,1659046851.146916,66,1
60648,1659046851.149293,66,1
60649,1659046851.149338,54,1
60650,1659046851.15595,54,1
60651,1659046851.158476,60,1
60652,1659046851.158518,54,1
74411,1659046852.0,74,1
60653,1659046852.069213,940,1
60654,1659046852.3827,940,1
